,,,,,,,,,,,,,,,
,,"Français","Anglais","ie","ouralique","finnois","hongrois","altaïque","turc","japonais","paleosiberien","étrusque","sémitique","kartvélien","dravidien"
,131,"frotter",,"mel",,"hieroa","dörssöl",,"sürtmek",,,,,,
,132,"laver",,"lew,neygw","moSki","pesta","mos",,"yikamak",,,,,,
,133,"essuyer",,,,"püühkia","töröl",,"silmek",,,,,,
,134,"tirer",,,,"vetaa","huz",,"tSekmek",,,,,,
,135,"pousser",,,,"tüöntaa","toll",,"itmek",,,,,,
,136,"jeter, lancer",,"swep,gwel",,"heitaa","dob",,"atmak",,,,,,
,137,"lier",,,,"sitoa","köt",,"balamak",,,,,,
,138,"coudre",,"syu",,"ommella","varr",,"dikmek",,,,,,
,139,"compter",,,,"laskea","ssamol",,"saymak",,,,,,
,140,"dire",,,,"sanoa","mond",,"demek",,,,,,
,141,"chanter",,"kan",,"laulaa","énekel",,"Sarki söylemek",,,,,,
,142,"jouer (s'amuser)",,,,"pelata","jatssik",,"oynamak",,,,,,
,143,"flotter",,,,"kellua","ussik,lebeg",,"dalgalanmak",,,,,,
,144,"couler (liquide)",,,,"virrata","folyik",,"akmak",,,,,,
,145,"geler",,,,"yaatüa","megfagy",,"dondurmak",,,,,,
,146,"gonfler (intransitif)",,,,"paisua","dagad",,"SiSmek",,,,,,
,147,"soleil",,"sawl",,"aurinko","nap",,"güneS",,,,,,
,148,"lune",,"mens",,"kuulla","hold",,"ay",,,,,,
,149,"étoile",,"aster",,"tahti","tSillag",,"yildiz",,,,,,
,150,"eau",,"akwa,woder","weti","vesi","viz",,"su",,,,,,
,151,"pluie",,"akmon",,"sade","eso",,"yamur",,,,,,
,152,"rivière",,"akwa",,"yoki","folyo",,"irmak,tSay",,,,,,
,153,"lac",,"ap",,"yarvi","to",,"göl",,,,,,
,154,"mer",,,,"meri","tenger",,"deniz",,,,,,
,155,"sel",,"sal",,"suola","so",,"tuz",,,,,,
,156,"pierre",,"akmon",,"kivi","kö",,"tatS",,,,,,
,157,"sable",,,,"hiekka","homok",,"kum",,,,,,
,158,"poussière",,"pers",,"pölü","por",,"toz",,,,,,
,159,"terre (sol)",,"dheghom",,"maa","föld",,"yer",,,,,,
,160,"nuage",,"nebhos",,"pilvi","felhö",,"bulut",,,,,,
,161,"brouillard",,"nsneudh",,"sumu","köd",,"sis",,,,,,
,162,"ciel",,,,"taivas","egess,minden,mig",,"gök",,,,,,
